"track_id","duration_ms","name","popularity","acousticness","danceability","energy","instrumentalness","key","liveness","loudness","mode","speechiness","tempo","time_signature","valence","id"
"5i1BTcYDCIEOnAHiCEVBs2",262028,"Deep Sole",2,0.000236,0.392,0.883,0.216,2,0.212,-6.745,1,0.0434,116.068,3,0.111,230
"5rqz7qYRltb4WyErw9CGa1",180193,"U Belong 2 Me",2,0.000985,0.784,0.606,0,1,0.206,-4.83,1,0.276,75.535,4,0.622,230
"61bK9qqIl5Lpn0lgiaeX8L",309820,"Back From the Future",4,0.000267,0.531,0.406,0.063,6,0.157,-7.014,0,0.053,116.312,1,0.288,230
"6BPWxXJIcebhVnnAMXEuiY",249383,"Bounty",2,0.00967,0.656,0.451,0.753,7,0.101,-8.874,1,0.0484,116.172,3,0.0417,230
"7tpd37pIlaDPYFsEN5lOvY",212705,"Work the Flow!",3,0.185,0.738,0.19,0.258,10,0.107,-9.231,0,0.736,116.079,1,0.277,230
"0iYPKdzOG6zpIE8oYiFVqY",249933,"Boyfriend (Repeat)",40,0.19,0.664,0.978,0.0831,5,0.0827,-4.504,1,0.082,120.031,4,0.701,231
"0r5H3J87P9gzIOlqluct12",204360,"Better Sit Down Boy",25,0.00425,0.636,0.98,0.12,11,0.059,-5.955,1,0.0575,128.994,4,0.886,231
"1kXjMWq4nCa2mbNMTz3sbg",238480,"Catch My Breath",31,0.0236,0.817,0.887,0.462,0,0.142,-7.294,1,0.0492,120.012,4,0.452,231
"21bGG6V9CNRjD77Qyy0a9t",293280,"Fascination",22,0.0602,0.585,0.906,0.00893,5,0.13,-6.617,1,0.0398,110.01,4,0.798,231
"2cj1pnYsPSCT72lHBFTXPs",265280,"Out the Window",38,0.000508,0.641,0.767,0.00354,10,0.339,-7.795,1,0.0494,105.017,4,0.51,231
"3790udK7P20zYTF8eay8lh",214373,"Try Your Luck",30,0.00575,0.733,0.719,0.0736,3,0.11,-6.852,1,0.0367,128.05,4,0.837,231
"3975gwCeIgSttVsJQ4ThMJ",153053,"Sail Boat Vacation",22,7.94e-05,0.674,0.815,0.864,10,0.38,-7.682,0,0.0516,128,4,0.795,231
"3cbdvWPF7cQcK3LibTmkXA",218600,"C.O.O.L Party",34,0.0129,0.732,0.832,0.00157,0,0.0998,-7.277,1,0.042,128.008,4,0.957,231
"3cNsgIi8d8XyWgIwE9Wsq5",223000,"All the Way",22,0.0225,0.655,0.78,0.214,11,0.103,-7.65,1,0.0422,126.004,4,0.686,231
"5AnDn91YRZMCIJJMWl99yD",203866,"Don't You Know I'm In a Band",32,0.0138,0.832,0.725,0.71,3,0.0423,-6.326,1,0.0411,140.072,4,0.82,231
"5FfK2BK5NsdUBJ36WsXALZ",208493,"Bubblegum",27,0.268,0.754,0.913,0.229,7,0.0762,-5.915,1,0.0587,105.041,4,0.953,231
"1IYfJ5FEmyQe3N57BE5P8x",213986,"Mamma Mia",41,0.167,0.646,0.886,0,4,0.101,-4.3,1,0.027,136.982,4,0.762,232
"1jTAc5Xy381b7BKsUesNsj",233573,"One of Us",39,0.874,0.346,0.195,0,6,0.12,-9.601,1,0.0297,84.537,4,0.223,232
"1jTPgK0J8zKcdbD6qUoiN0",237093,"Fernando",46,0.484,0.404,0.663,0,9,0.251,-5.574,1,0.0271,111.03,4,0.569,232
"1kGfDyrtmvU7lVaBXiWSbJ",172880,"Waterloo",46,0.0192,0.538,0.902,0,2,0.151,-3.718,1,0.0301,147.033,4,0.826,232
"3T5X9UDD29mFzJeRQtUfst",272400,"The Winner Takes It All",42,0.139,0.535,0.674,0,1,0.324,-7.037,0,0.0393,127.792,4,0.234,232
"4uggRFfXTB6W3EtvHTh7mC",288626,"The Name of the Game",35,0.249,0.666,0.654,0,8,0.14,-5.219,1,0.0287,80.97,4,0.625,232
"5vQabTPJCm71G9LoVpVIVY",222880,"Dancing Queen",44,0.111,0.601,0.942,1.05e-06,9,0.338,-3.865,1,0.0543,103.28,4,0.418,232
"63WWeKBfOuoijGLgCD03Ws",202440,"SOS",40,0.144,0.496,0.743,0,6,0.092,-4.227,1,0.0336,122.352,4,0.568,232
"71EHULNBt1J1DJMpBQH3Xc",314146,"Chiquitita",38,0.555,0.651,0.64,2.15e-06,7,0.137,-7.683,1,0.0364,86.994,4,0.456,232
"78IHA9UJHnvQdCwbp3P5Vu",251293,"Gimme! Gimme! Gimme! (A Man After Midnight)",45,0.0147,0.616,0.695,0,9,0.492,-5.733,0,0.0423,119.01,4,0.382,232
"08NUSC1GSUuDOMvB5gQzpu",289041,"Smiles",12,0.421,0.696,0.831,0,6,0.324,-9.677,1,0.127,155.036,4,0.654,233
"09HnAbFLSZcMxLfM8fGkvK",107740,"Clocking the game (Enter a new atmosphere)",6,0.868,0.13,0.253,0.787,5,0.166,-12.578,1,0.0399,153.712,3,0.0367,233
"0iOwm6gsib2QvcbB6cmpWA",195419,"Man better jump",10,0.000631,0.795,0.602,4.64e-05,4,0.0843,-10.608,0,0.133,138.093,4,0.732,233
"10OHiUYkKOMy6xgXiJwsPs",213252,"Gangster",8,0.065,0.793,0.747,1.27e-06,9,0.0509,-7.117,1,0.243,164.021,4,0.129,233
"16PUIeYQ8MqyNZY6Wk5dP9",196162,"Nov Wait Stop Wait",14,0.152,0.654,0.712,0.011,1,0.333,-8.071,1,0.266,69.742,4,0.239,233
"1A3by6PfAmN0AbtncuRbEJ",209536,"Wait Wait Wait",9,0.0873,0.899,0.87,0.25,1,0.251,-6.382,1,0.0535,119.995,4,0.893,233
"29cg3pqLX23QAm5968w1BP",53498,"Nov B2B DeeCee (Radio skit)",4,0.208,0.425,0.961,0,7,0.793,-7.263,1,0.415,80.381,4,0.536,233
"2QC1wn6HYQ9dLvxGP34Weo",254862,"Better Way",10,0.178,0.736,0.64,0.00684,11,0.389,-10.537,1,0.0515,144.988,4,0.771,233
"2qhW9i80MoniWJfEqZ81PY",243716,"Afro pick",14,0.048,0.507,0.565,0.0414,11,0.132,-9.541,1,0.261,71.081,4,0.163,233
"2rdseFj7f3uwG2otLA0E6Q",55727,"Happiness in the cold",9,0.0354,0.893,0.858,0,11,0.356,-8.897,0,0.104,140.024,4,0.962,233
"37cdRIqEJBNPejGBHVNntD",185016,"Whole 9 yards",10,0.0114,0.831,0.526,1.01e-05,11,0.295,-10.125,1,0.202,128.021,4,0.699,233
"3IyPg8i3q4IaLAy4NadCnn",219939,"Stop Killing The Mandem",11,0.0297,0.82,0.634,0,1,0.18,-7.19,1,0.277,139.996,4,0.633,233
"3TaehF7sSVdZS6mkVQejeW",219939,"The end (Don't lose faith riddim)",5,0.068,0.802,0.543,0.829,10,0.0541,-9.054,0,0.0615,106.024,4,0.132,233
"5nWI7xIXeLf9s5rNHhOCJ5",240744,"Dot Dot Dot",12,0.0921,0.825,0.871,2.04e-06,4,0.109,-12.39,0,0.179,135.961,4,0.553,233
"7af3NOPi7H6hoIIR7uVSOB",220682,"Start",9,0.0649,0.819,0.602,0.0522,10,0.121,-9.324,0,0.0501,106.002,4,0.0866,233
"1XQyqr5hLdxKAvWfcd0b5I",165116,"Circle River",23,2.84e-06,0.243,0.98,0.156,11,0.419,-3.909,0,0.123,100.598,4,0.155,234
"2GzqkDhNFU7dt3HGeIEqfJ",71454,"Dark Train",23,1.35e-06,0.239,0.994,0.0122,7,0.78,-3.803,1,0.227,120.79,4,0.123,234
"3GANN8bJx4lGN5qfbiONT6",81030,"Tunnel Under the Tracks",17,0.639,0.204,0.522,0.588,5,0.694,-14.011,1,0.133,59.932,3,0.275,234
"43cTDy64YLkYhi7CVjY4Tc",73522,"Terminal Itch",18,8.25e-06,0.459,0.968,0.754,1,0.222,-3.667,0,0.215,114.519,4,0.187,234
"4EdMkWy9B6mO1VP2cbfinb",160041,"The Last Song",15,1.86e-06,0.46,0.981,0.342,2,0.352,-3.464,1,0.101,92.491,4,0.35,234
"5Ra2TTUJwCtNNgLHWqGVph",198333,"Army of Cops",30,3.06e-06,0.212,0.994,0.0344,2,0.342,-3.749,1,0.188,160.027,4,0.214,234
"5slsKuw6pRPb0oNH01bKYy",175602,"The Torture Fields",22,3.22e-06,0.253,0.98,0.252,2,0.212,-3.916,1,0.169,122.421,3,0.288,234
"6jNPAZQiXH19h02GCiE37w",132139,"The Adventures of Jason and Jr",18,3.22e-06,0.241,0.988,0.274,6,0.235,-3.481,1,0.175,107.779,4,0.362,234
"73wXhTaxQ64X1zaUlgNdFq",75631,"Trap Door Man",26,6.14e-06,0.496,0.974,0.856,10,0.161,-3.464,0,0.0904,108.05,4,0.414,234
"7aTDEUcvOlHZCxMSLtuJAn",97125,"Mt. Skull",19,6.72e-06,0.252,0.942,0.0171,1,0.119,-3.825,0,0.198,135.015,4,0.236,234
"7J1KqqL4kfX1NKeqnItSX0",201909,"Concrete Beast",17,2.64e-05,0.325,0.955,0.294,1,0.0451,-3.942,1,0.174,109.348,3,0.682,234
"7xnF1QUc2VaPkaGJbzqR7I",427475,"House of Snakes",15,1.17e-05,0.284,0.982,0.31,9,0.117,-4.126,1,0.201,140.265,3,0.186,234
"09WFmebmivsbqeyLUfRU5j",164213,"While You Were Sleeping",3,0.000876,0.36,0.791,0.695,0,0.0816,-5.995,1,0.0352,102.277,4,0.599,235
"0tOTz2I9TPFxWALc7cp8vO",238385,"High School",3,0.0456,0.427,0.462,0.615,0,0.113,-7.509,1,0.0276,104.657,4,0.39,235
"1eJA6ZROjgiOND7LZldp3s",168235,"I Only Dance When I Want To",4,0.00926,0.235,0.898,0.00108,0,0.0744,-5.198,1,0.0743,176.411,4,0.788,235
"2mojeTW0geF2mNSgbnNCLr",183430,"Alright (Sometimes)",3,5.94e-05,0.319,0.654,0.0396,9,0.189,-6.019,1,0.0341,117.36,4,0.577,235
"3COjbzGem05DOg0WKgv0DW",217239,"Keep in Touch",4,2.76e-05,0.131,0.895,0.646,5,0.623,-4.308,1,0.0446,188.776,4,0.631,235
"4k40J3GjGC6cNOWXzmA7cd",171239,"Less Than Perfect",8,0.00107,0.152,0.719,0.00501,4,0.412,-4.386,1,0.0383,199.668,4,0.695,235
"5T1jYCC87vLVkouyGJxjXm",193123,"Still Alive",9,0.00606,0.248,0.878,0.0282,11,0.0729,-4.888,0,0.0616,162.235,4,0.572,235
"6Ui9PAUoXSdni9q9L8ZObO",131632,"I Hope She Loves You",3,0.00284,0.265,0.838,0.0426,6,0.0847,-4.792,1,0.0408,162.209,4,0.801,235
