,Name,Artist,Released,RYM Rating,Genres,Descriptors,Language,Track listing,Colorscheme,Num_of_RYM_Ratings
0,Concrete and Glass,Nicolas Godin,24 January 2020,3.07,"Downtempo, Synthpop
Ambient Pop, Lounge, Sophisti-Pop","warm,  mellow,  atmospheric,  soothing",,"['Concrete and Glass', 'Back to Your Heart', 'We Forgot Love', 'What Makes Me Think About You', 'Time on My Hands', 'The Foundation', 'Catch Yourself Falling', 'The Border', 'Turn Right, Turn Left', 'Cité Radieuse']","['#a2bcc9', '#a8b0af', '#696e58', '#b1bdb9', '#9d9b8e']",169
0,Names of North End Women,Lee Ranaldo / Refree,21 February 2020,3.31,"Art Pop
Electroacoustic, Sound Collage, Ambient Pop","male vocals,  improvisation,  abstract,  melodic,  poetic,  avant-garde,  atmospheric,  sparse,  cold,  uncommon time signatures",,"['Alice, Etc.', 'Words Out of the Haze', 'New Brain Trajectory', 'Humps (Espriu Mix)', 'Names of North End Women', 'Light Years Out', 'The Art of Losing', 'At the Forks']","['#c0c0c0', '#a7a8a8', '#af9c7b', '#9b7d47', '#5c402b', '#d28442', '#7a6852', '#c07440', '#d2975d', '#be884a']",188
0,Uneasy Laughter,Moaning,20 March 2020,3.22,"Post-Punk Revival
Synthpop, Shoegaze, Coldwave","dense,  melancholic,  sombre,  male vocals,  introspective,  melodic,  atmospheric,  lush,  uplifting",English,"['Ego', 'Make It Stop', '///', 'Stranger', 'Running', 'Connect the Dots', 'Fall in Love', 'Coincidence or Fate', 'What Separates Us', '//////////', 'Keep Out', 'Saving Face', 'Say Something']","['#00b5f4', '#bc7e4b', '#658071', '#276d79']",323
0,Built to Spill Plays the Songs of Daniel Johnston [yellow vinyl],Built to Spill,12 June 2020,3.77,"Indie Rock
Indie Pop, Slacker Rock","love,  male vocals,  melodic,  romantic,  mellow,  soft,  lonely,  sad,  longing,  summer,  bittersweet,  melancholic,  warm,  poetic,  introspective,  rhythmic,  sentimental,  passionate,  dense,  psychedelic",,"['Bloody Rainbow', 'Tell Me Now', 'Honey I Sure Miss You', 'Good Morning You', 'Heart, Mind and Soul', 'Life in Vain', 'Mountain Top', 'Queenie the Dog', 'Impossible Love', 'Fake Records of Rock & Roll', 'Fish']","['#cbc4cc', '#a3a4a4', '#b8e4f1', '#99a889', '#ea9793', '#faf688', '#a7d192', '#7f7d6e']",3
0,Thin Mind,Wolf Parade,24 January 2020,3.01,"Indie Rock
Synthpop, Post-Punk Revival","male vocals,  apocalyptic,  melodic,  concept album,  anthemic",English,"['Under Glass', 'Julia Take Your Man Home', 'Forest Green', 'Out of Control', 'The Static Age', 'As Kind As You Can', 'Fall Into the Future', 'Wandering Son', 'Against the Day', 'Town Square']","['#6d6848', '#aa9a45', '#cbb6b1', '#bdd28d', '#b9bf9c', '#8eb984', '#a6a184', '#bda88b', '#3c7b4e', '#e7da94']",712
0,Teenage Gizzard,King Gizzard & The Lizard Wizard,24 December 2020,3.09,"Garage Punk
Surf Punk, Psychedelic Rock, Noise Rock, Garage Rock","lo-fi,  repetitive,  raw,  psychedelic,  playful,  summer,  male vocals,  energetic,  noisy",English,"['Hey There', 'Ants and Bats', 'Sleep', 'Summer!', 'Eddie Cousin', 'Fried', 'Good to Me', 'Tomb / Beach', 'Trench Foot', 'Life Is Cool']","['#2d455f', '#fe4b68', '#676975', '#407096', '#998f54', '#90a0b0', '#a84156']",262
0,Antarctica,Flat Worms,10 April 2020,3.1,"Garage Punk
Noise Rock, Indie Rock","noisy,  male vocals,  energetic,  rhythmic",,"['The Aughts', 'Plaster Casts', 'Market Forces', 'Antarctica', 'Via', 'The Mine', 'Ripper One', 'Condo Colony', 'Signals:', 'Wet Concrete', 'Terms of Visitation']","['#919aa9', '#28586f', '#768371', '#c1caaf', '#ecdfb3']",142
0,Deap Lips,Deap LipsThe Flaming LipsDeap Vally,13 March 2020,2.42,"Psychedelic Pop, Neo-Psychedelia
Garage Rock, Synthpop","psychedelic,  male vocals,  female vocals",,"['Home Thru Hell', 'One Thousand Sisters With Aluminum Foil Calculators', 'Shit Talkin', 'Hope Hell High', 'Motherfuckers Got to Go', 'Love Is a Mind Control', 'Wandering Witches', 'The Pusher', 'Not a Natural Man', 'There Is Know Right There Is Know Wrong']","['#cbcbcb', '#8b969c', '#847d2c', '#7ac0ff', '#4f5d50', '#8b9ca6', '#b25b4a', '#ccccc0']",14
0,Emergency on Planet Earth,Jamiroquai,17 May 1993,3.57,"Acid Jazz, Funk
Jazz-Funk, Neo-Soul","androgynous vocals,  energetic,  uplifting,  eclectic,  male vocals,  improvisation,  rhythmic,  psychedelic,  drugs,  conscious,  mellow,  political,  lush,  introspective,  tropical,  party,  space,  rebellious",English,"['When You Gonna Learn (Digeridoo)', 'Too Young to Die', 'Hooked Up', 'If I Like It, I Do It', 'Music of the Mind', 'Emergency on Planet Earth', ""Whatever It Is, I Just Can't Stop"", 'Blow Your Mind', 'Revolution 1993', ""Didgin' Out""]","['#cccccc', '#919191', '#929292', '#525254', '#adadad']",2933
0,"Shoot for the Stars, Aim for the Moon",Pop Smoke,3 July 2020,2.88,"Trap, Pop Rap, East Coast Hip Hop
UK Drill, Gangsta Rap","rhythmic,  male vocals,  party,  crime,  rebellious,  boastful,  aggressive,  drugs,  energetic,  summer,  eclectic,  optimistic,  introspective,  hedonistic,  sexual,  violence,  ballad,  urban,  melodic,  death,  triumphant","English, Spanish","['Bad Bitch From Tokyo (Intro)', 'Aim for the Moon', 'For the Night', '44 Bulldog', 'Gangstas', 'Yea Yea', 'Creature', 'Snitching', 'Make It Rain', 'The Woo', 'West Coast Shit', 'Enjoy Yourself', 'Mood Swings', 'Something Special', 'What You Know Bout Love', 'Diana', 'Got It on Me', 'Tunnel Vision (Outro)', 'Dior [bonus track]']","['#7a7a7a', '#c4c6c5', '#757575', '#c7c7c7']",3208
0,When We Stay Alive,Poliça,31 January 2020,3.05,"Art Pop, Indietronica, Synthpop, Alt-Pop
Trip Hop, Indie Pop",female vocals,,"['Driving', 'Tata', 'Fold Up', 'Feel Life', 'Little Threads', 'Be Again', 'Steady', 'Forget Me Now', 'Blood Moon', 'Sea Without Blue']","['#cea8bf', '#b77791', '#7a7a7a']",18
0,Think of Spring,M. Ward,11 December 2020,2.94,Contemporary Folk,"mellow,  acoustic,  soft",English,"['I Get Along Without You Very Well', ""For Heaven's Sake"", ""It's Easy to Remember"", ""You've Changed"", 'Violets for Your Furs', 'For All We Know', 'But Beautiful', 'All the Way', ""I'm a Fool to Want You"", ""I'll Be Around"", ""You Don't Know What Love Is""]","['#24522e', '#5a4321', '#8a4b15', '#fddc95', '#93cdb5']",101
0,Candid [clear blue vinyl],Whitney,14 August 2020,4.0,"Folk Pop
Indie Folk, Soft Rock, Country Soul","melodic,  passionate,  androgynous vocals",,"['Bank Head', 'A.M. AM', 'Take Me Home, Country Roads', 'High on a Rockey Ledge', 'Something Happen', 'Strange Overtones', 'Hammond Song', 'Crying, Laughing, Loving, Lying', 'Rain', 'Rainbows & Ridges']","['#5b4a2c', '#7e7a7a', '#766669', '#2170e7', '#327ae8', '#af97af', '#1568e8', '#c2b8d1', '#3c7ce8']",1
0,Tearless,Amnesia Scanner,13 June 2020,2.87,"Deconstructed Club, Glitch Pop, Post-Industrial
Latin Electronic, Electro-Industrial, Glitch Hop","androgynous vocals,  mysterious,  dark,  surreal,  atmospheric,  noisy,  female vocals,  anxious,  concept album,  abstract,  futuristic","English, Spanish","['AS Enter', 'AS Tearless', 'AS Flat', 'AS Trouble', 'AS Acá', 'Call of the Center (Interlude)', 'AS Too Late', 'AS Going', 'AS Labyrinth', 'AS U Will Be Fine']","['#7a7a7a', '#810005', '#a4a4a4', '#bf6409', '#666666', '#e02400', '#f20300', '#8e908b', '#fd7366', '#d78c89']",1196
