"","avg_pop","max_pop","min_pop","med_pop","n","id"
"366",59,67,49,58,12,2114
"367",38.6153846153846,51,32,39,13,1978
"368",24.3636363636364,35,17,25,11,712
"369",15.5,26,11,14,10,861
"370",15.6153846153846,28,11,14,13,1906
"371",28.8333333333333,42,23,27,12,700
"372",41.6,46,35,41.5,10,232
"373",34.3,43,25,34.5,10,937
"374",13.8571428571429,23,8,11.5,14,1029
"375",47.5,60,40,46.5,12,1167
"376",27.2666666666667,35,22,25,15,75
"377",46.3076923076923,61,37,45,13,1647
"378",39.6923076923077,66,2,44,13,1219
"379",0.55,7,0,0,20,159
"380",20,23,17,20,9,1805
"381",12.8571428571429,34,8,11,14,881
"382",59.1428571428571,78,48,59,14,1228
"383",34,47,24,30.5,10,1407
"384",33.7333333333333,49,1,33,15,443
"385",14.9090909090909,31,8,9,11,319
"386",22.5,50,12,21.5,12,7
"387",44.8461538461538,52,40,44,13,2210
"388",25.6666666666667,47,13,23.5,12,797
"389",34,48,26,32.5,12,516
"390",10.7333333333333,22,7,10,15,1847
"391",39.6153846153846,53,27,39,13,418
"392",43,49,36,43.5,10,1682
"393",64.5555555555556,78,55,63,9,1026
"394",17.1,28,12,14.5,10,1690
"395",16.5,25,11,15,6,1652
"396",60.5454545454545,80,52,58,11,898
"397",54.1666666666667,72,48,52.5,12,1625
"398",20.8,35,11,19.5,10,1874
"399",32.9230769230769,54,22,30,13,1754
"400",17.8333333333333,45,9,16.5,12,802
"401",29.6,46,21,30,15,960
"402",33.125,49,24,31.5,16,1307
"403",13.75,18,9,14,8,219
"404",16,24,12,16,11,1806
"405",23.0666666666667,34,18,23,15,228
"406",37.3125,53,28,37.5,16,1971
"407",22.3,42,14,17,10,843
"408",30.0714285714286,42,24,27.5,14,1150
"409",48.0769230769231,54,44,47,13,349
"410",55.8125,66,46,56,16,971
"411",61,81,12,63,12,1924
"412",19.7142857142857,35,15,16,7,1813
"413",15.3,33,9,12.5,10,1766
"414",46.4545454545455,58,39,46,11,220
"415",22.5454545454545,31,16,22,11,1014
"416",26.4444444444444,50,14,25,9,1887
"417",2.11111111111111,5,1,2,9,653
"418",29.3636363636364,40,22,30,11,231
"419",35.5,50,28,34.5,12,2134
"420",34.25,42,25,36.5,8,454
"421",28.9090909090909,36,24,29,11,1556
"422",34.6428571428571,52,0,35,14,1202
"423",41.25,51,33,41,12,2061
"424",48.7142857142857,66,1,49,14,2241
"425",16,29,12,15,11,1148
"426",9.25,17,0,9.5,12,1199
"427",16.8,33,11,15,15,272
"428",6.625,15,4,5.5,8,1016
"429",31.9,37,26,32,10,192
"430",36.7,48,29,34.5,10,1756
"431",14.1,25,9,11.5,10,223
"432",27.2,49,20,23.5,10,1239
"433",35.1,41,30,34.5,10,2065
"434",7.90909090909091,16,5,6,11,105
