"avg_pop","max_pop","min_pop","med_pop","n","id"
12.25,18,6,11.5,12,"rodneycrowell2018chrere"
21.8333333333333,36,16,20,12,"johnnymarr2018calmet"
38.5,56,27,36.5,10,"soccermommy2018cleean"
47,61,34,45,12,"nathanielrateliffthenightsweats2018teaams"
19.9166666666667,35,12,16.5,12,"tuneyards2018icaife"
7,9,5,7,10,"kristinhersh2018posuds"
9.66666666666667,19,0,10,12,"jakeshears2018jakars"
10.7,31,5,8.5,10,"luluc2018scutor"
9.33333333333333,31,5,7,12,"thelowanthem2018thesea"
11,24,6,10,20,"calexico2018thesus"
0.272727272727273,2,0,0,11,"benincity2018lasght"
59.6363636363636,80,47,58,11,"camilacabello2018camila"
30.2222222222222,46,22,26,9,"nothing2018dantop"
24.6,33,16,25.5,10,"lucero2018amosts"
3.90909090909091,11,2,3,11,"napeyes2018imbnow"
15.6363636363636,25,8,14,11,"hinds2018idorun"
25.3636363636364,39,0,26,11,"thegoodthebadthequeen2018merand"
1.14285714285714,2,1,1,7,"sarahlouise2018deeods"
16.8,33,11,15,15,"corrosionofconformity2018nocown"
40.1,52,30,38,10,"johnprine2018theess"
5.66666666666667,16,2,5,15,"lindiortega2018librty"
21.4,30,15,20,15,"yolatengo2018thegon"
49.3157894736842,71,42,47,19,"johnlegend2018alemas"
31.8333333333333,39,28,31,6,"nineinchnails2018badtch"
28.6666666666667,57,20,24,9,"villagers2018thewim"
23.7,37,16,22.5,10,"dirtyprojectors2018lamose"
7.93333333333333,33,3,5,15,"gaika2018basume"
5.2,10,3,4,10,"joanbaez2018whiind"
13.5454545454545,27,6,10,11,"jimjames2018uniion"
18.8333333333333,42,11,17,12,"theorielles2018silent"
54.3,83,42,50.5,10,"mgmt2018litage"
7.93333333333333,16,5,8,15,"guidedvoices2018spagun"
8.63636363636364,23,3,7,11,"marissanadler2018formes"
19.625,31,13,18,16,"andrewwk2018youone"
5.2,13,3,3,5,"bardopond2018volol8"
52.6315789473684,80,44,50,19,"meekmill2018chaips"
23.0714285714286,31,20,22,14,"old97s2018lovays"
32.2857142857143,52,24,27,7,"melodysechochamber2018bonage"
13.7272727272727,22,9,13,11,"droctagon2018mooion"
42.1428571428571,54,35,40,14,"judaspriest2018firwer"
9,18,5,8.5,10,"frigs2018basour"
23.5,42,11,17.5,10,"michaelrault2018itsght"
30.5833333333333,40,22,30.5,12,"rossfromfriends2018famait"
34.6,55,28,33,10,"santigold2018idoons"
8.55555555555556,19,4,6,9,"traceythorn2018record"
9.55555555555556,23,5,8,9,"jesswilliamson2018cosink"
23.0909090909091,40,16,20,11,"mollyburch2018firwer"
20.0909090909091,31,13,19,11,"tysegall2018fudich"
9.71428571428571,24,0,9.5,14,"suede2018theour"
11.2,25,5,8.5,10,"poppyackroyd2018reslve"
16,32,6,12,11,"dreamwife2018dreife"
4.92307692307692,16,2,3,13,"italtek2018bodied"
27.4,39,19,28.5,10,"sonlux2018brinds"
2.125,4,1,2,8,"venetiansnares2018venois"
43.2,56,35,42.5,10,"firstaidkit2018ruiins"
14.8888888888889,44,7,11,9,"ryleywalker2018deance"
2.21428571428571,9,1,2,14,"µziq2018chaish"
13.9,27,6,13.5,10,"explodedview2018obebey"
11.4,32,4,7,10,"madelinekenney2018perpes"
44.6,65,31,41,20,"raesremmurd2018sr33mm"
14.4,32,7,11,10,"shopping2018theody"
12.0909090909091,32,5,8,11,"stefchura2018messes"
12.9,31,7,10,10,"mutualbenefit2018thught"
14.5555555555556,29,8,12,9,"vessel2018queogs"
40.0625,65,0,40,16,"ritaora2018phonix"
14.9090909090909,31,8,9,11,"christinavantzou2018no4no4"
14.3636363636364,34,7,12,11,"swearin2018falsun"
11,22,6,10,11,"rogerdaltrey2018aslyou"
52.9090909090909,60,49,51,11,"arcticmonkeys2018traino"
15.7142857142857,41,7,11.5,14,"matthewdear2018bunnny"
5.4,12,3,4,10,"cavernofantimatter2018horade"
19,39,13,16,11,"insecuremen2018insmen"
7.64285714285714,17,3,6,14,"buffalotom2018quiace"
5.8,12,2,5,10,"felicita2018hejhej"
24.1,32,16,24,10,"kamaalwilliams2018theurn"
19.8181818181818,29,15,18,11,"willienelson2018mywway"
13.1,22,10,12,10,"thedamned2018eviits"
28.8,45,20,28.5,10,"joycemanor2018millme"
24.3333333333333,41,17,22,12,"lalalala2018theamb"
34.8181818181818,49,26,34,11,"thevaccines2018comrts"
19.1111111111111,43,11,16,9,"eruschav2018whoyou"
9.54545454545454,17,5,9,11,"mudhoney2018digage"
9.11111111111111,22,4,5,9,"simianmobiledisco2018murons"
39.0833333333333,64,32,37,12,"unknownmortalorchestra2018sexood"
11.1428571428571,31,5,8,7,"poliça2018musncy"
14.5,24,7,14.5,8,"dedekindcut2018tahhoe"
6.14285714285714,19,3,4.5,14,"theessexgreen2018harnic"
53.1,63,46,53,10,"florencethemachine2018higope"
17.8125,30,12,17,16,"james2018livmes"
0,0,0,0,1,"creepshow2018mrdite"
17.25,31,13,15.5,12,"jmascis2018elaays"
5.4,8,4,5,5,"dylancarlson2018condor"
20.3,30,16,19,10,"pianosbecometheteeth2018waiove"
19.1818181818182,36,11,19,11,"ryuichisakamoto2018asyels"
21.1818181818182,45,10,20,11,"fantasticnegrito2018pleead"
48.0769230769231,54,44,47,13,"coheedandcambria2018vaxres"
12.4444444444444,21,7,10,9,"annaburch2018quirse"
22.4,36,13,20.5,10,"kingtuff2018theher"
36.75,54,31,34.5,16,"czarfacemfdoom2018czaace"
19.5,37,12,18,16,"thelemontwigs2018gotool"
3.6,5,2,4,5,"bodyhead2018thetch"
6.875,18,3,5.5,8,"uniform2018thealk"
1.4,10,0,0,10,"menacebeach2018blaund"
21.7857142857143,31,15,21,14,"laurajanegracethedevouringmothers2018bourot"
17.3,31,14,15.5,10,"thebody2018ihager"
30.45,45,5,28,20,"cypresshill2018elecid"
29.4545454545455,53,21,28,11,"laluz2018flores"
24.8,48,14,22,20,"variousartists2018johrds"
11.4166666666667,19,6,10.5,12,"moby2018eveurt"
24.0833333333333,43,12,21,12,"everythingisrecorded2018eveell"
35.2142857142857,46,29,34,14,"lilyallen2018nosame"
52.25,72,41,49,8,"teyanataylor2018ktstse"
52.8,72,39,53,10,"leonbridges2018gooing"
21.4444444444444,41,9,17,9,"swampdogg2018lovune"
13.8888888888889,22,9,14,9,"selling2018onrion"
7.6,9,6,8,5,"papam2018abrses"
14.6666666666667,33,7,11,12,"drinks2018hipite"
10,20,5,8,11,"amberarcades2018eureak"
25.5384615384615,41,19,24,13,"jackwhite2018boaach"
9.58333333333333,32,4,7,12,"pram2018acrian"
2,3,1,2,10,"aidanmoffat2018ghomas"
10.1,26,5,8.5,10,"ganggangdance2018kazita"
33.5454545454545,58,20,34,11,"andersoneast2018encore"
22.4666666666667,37,17,20,15,"theymightbegiants2018ilifun"
20.2857142857143,35,13,17.5,14,"bodega2018endoll"
5.88888888888889,9,4,5,9,"hcmcentire2018lioart"
22.8,36,13,22,10,"empressof2018usus"
5.8,10,3,5.5,10,"thechills2018snound"
29.5,42,20,27.5,16,"paulmccartney2018egyion"
14.5555555555556,26,9,12,9,"mogwai2018kinack"
10.3076923076923,29,4,7,13,"audiobooks2018nowute"
33.3333333333333,64,21,33,9,"raylamontagne2018parght"
0,0,0,0,1,"susanna2018godave"
14.5,34,7,11.5,10,"planningtorock2018powuse"
22.7,40,15,19.5,10,"dawes2018pasrds"
19.5384615384615,40,10,18,13,"jonathanwilson2018rarrds"
7.5625,16,3,6.5,16,"howtodresswell2018theoom"
60.5,75,47,60,12,"jcole2018kodkod"
37.5,57,27,36,10,"superorganism2018supism"
0.923076923076923,3,0,1,13,"okzharp2018cloart"
